Model,Price,Description 2,Description,City,District,Region
iPhone 13 128гб новый,320 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']",Минус жок екі апта болды алганыма новый срочно ақша керек болып сатып жатрм,"Атырау, Привокзальный",Привокзальный,Атырауская область
IPhone 12 Pro Max,300 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","Продам айфон 12 про Макс
128 гб памяти
АКБ 88%
Работает отлично торг есть","Усть-Каменогорск, 45-я аптека",45-я аптека,Восточно-Казахстанская область
Iphone 14 128 gb,275 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Телефон в идеальном состоянии, пользовались год. Без единой царапины и сколов! В ремонте не был, любые проверки. Цена окончательная","Астана, Сарыаркинский район",Сарыаркинский район,Акмолинская область
Iphone 15 pro max altiv market,500 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: другое', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Актив Маркет
Название: IPhone 15 pro max

kT: 144-2483
Комплектация: нет

Kaspi 0-0-12
Kaspi Red Еще более тысячи товаров по самым доступным ценам в магазине техники от Актив Ломбарда! Магазина находятся по адресу Гоголя 91, угол Байсеитовой
*Работаем каждый день без перерывов и выходных с
09:00 до 22:00

Рассрочка на 12 месяцев
Без процентов и без переплат
Для заказа
https://wa.me/+77788883225","Алматы, Алмалинский район",Алмалинский район,Алматинская область
"Iphone 14 , Айфон 14 , 256гб , 86%",200 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продаётся Айфон 14 в хорошем состоянии, работает без нареканий, память 256гб , акб 86, Назарбаева 29 Магазин SMARTFON","Павлодар,",,Павлодарская область
Продам iphone 14pro max 128gb,340 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам iPhone 14 Pro Max 128GB
В хорошем состоянии, без царапин, сколов и ремонта.
Состояние батареи 86%
Коробка, оригинальный шнур так же имеется.","Костанай,",,Костанайская область
C32-Сотовый Телефон APLLE iPhone 12Pro Max 128GB/136944,210 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: другое', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","Сотовый Телефон APLLE iPhone 12Pro Max 128GB

Состояние: в отличном состоянии

Данный товар вы можете приобрести по адресу:
г. Атырау, ул. Сатпаева 32
Remarket MoneyShop

- Рассрочка 0-0-12
- Выгодно продать + Есть Обмен ""TRADE iN"".
- Доставка по всему KZ
- Живые отзывы о Нас - в профиле
- Все товары выходят раньше вот тут
- Официальный сайт (ссылка в профиле)
- Закрытый Канал в Телеграме (за ссылкой в личку)","Атырау, Сатпаева",Сатпаева,Атырауская область
iPhone 16 pro 128 gb. Айфон 16 про,521 000 тг.,"['Бизнес', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 1024 Гб, 256 Гб, 512 Гб, 128 Гб', 'Кол-во сим карт: 1 сим-карта, 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Продаю iPhone 16 pro. айфон 16 про все цвета и объем памяти в наличии, новые, запечатанные, неактивированные, проверяем через сайт apple.com, год гарантии. Иногда цены могут меняться от зависим курса доллара. Кредита и рассрочки нет! Бронируйте телефон за час до приезда! Мы находимся по адресу улица Абылайхана 62, ТД ЦУМ, 2 этаж, 9 сектор, 2 витрина, Аида","Алматы, Алмалинский район",Алмалинский район,Алматинская область
"Apple iPhone 14, ак99%, 128Gb (Астана, Женис 24) л:412544",260 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: 4.1""-4.5""', 'Состояние: Б/у']","Цвет: Чёрный
Емкость аккумулятора: 99
Память: 128 Gb
Комплект смартфона: Коробка
Состояния среднее 9\10, Без дефектов. минусов в работе нет . Номер лота 412544. Имеется оформление в кредит от Жусан банка без первоначально взноса .
Так же есть Рассрочка через ""Банк Центр Кредит"" на 3 месяца.
ОБМЕНА нет, ТОРГА нет.
По всем вопросам пишите, звоните. Наш адрес. г. Астана , Женис 24 Ломбард Деньги Маркет.
Режим работы: Будни с 10:00 до 19:00, выходные с 10:00 до 18:00 (обед с 13:00 до 14:00)
Также мы принимаем все! (ТЕЛЕФОНЫ/СМАРТФОНЫ, НОУТБУКИ/КОМПЬЮТЕРЫ, ПРИНТЕР/МОНОБЛОК, ЮВЕЛИРНЫЕ ИЗДЕЛИЯ/ЗОЛОТО, ВСЁ ВИДЫ ЭЛЕКТРОНИКИ, ЭЛЕКТРО ИНСТРУМЕНТЫ, ИНСТРУМЕНТЫ, ТЕЛЕВИЗОРЫ, ЧАСЫ и многое другое)
У нас Самые простые условия! Полная прозрачность!
САМАЯ ВЫСОКАЯ ОЦЕНКА В ГОРОДЕ! НИЗКИЕ ПРОЦЕНТЫ!","Астана, Есильский район",Есильский район,Акмолинская область
Iphone 16 pro Айфон 16 про,300 000 тг.,"['Частное лицо', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Новый']","Рефнутый (рефаунд) с Америки, проблем никаких не будет. Новый запечатанный. Так же могу сделать реф так же на любую абсолютно вещь которая продается на Amazon, Ebay и т.д зарубежных маркетплейсах за 60% от стоимости самого товара. Количество ограничено 1-2 штуками товаров. Так же могу оформить для вас эту вещь в рассрочку. Работаю только онлайн, отправку делаю раз в неделю по всем городам Казахстана. Для того что бы узнать подробнее или заказать под реф пишите в/\тсап по указанному номеру.","Алматы, Бостандыкский район",Бостандыкский район,Алматинская область
"Iphone 15 Pro, 128 гб (Актау 7мкр 12 ) Лот: 441261",440 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","Apple iPhone 15 Pro
Память:128 гб
Аккумулятор:100%
Комплект : коробка
Состояние: 10/10
Номер лота : 441261
Без торга и обмена нет.
Скидок нет !
Действует кредит через «Jusan Bank»
Также можно оформить в рассрочку на 3 месяца через Банк Центр Кредит без первоначального взноса!
Пн-пт 9:00-18:00
Суб-воскр 10:00-18:00
Адрес:город Актау 7мкр 12
Ломбард Деньги Маркет.","Жанаозен,",,Мангистауская область
,,[],,,,
,,[],,,,
iPhone 12 128 гб,200 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.1""-4.5""', 'Состояние: Б/у']","iPhone 12 128 гб емкость 81 цена 200000
Обмен iphone 14 pro
Ватсап","Шымкент, Абайский район",Абайский район,Туркестанская область
Iphone 12 | Айфон 12,120 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 64 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","В идеальном состоянии
Айклауд чистый
Face id работает
Трутон работает
Состояние аккумулятора: 87%
Комплектация: коробка, документы
В ремонте не был
Царапин нету
Торг минимальный
74******22","Актобе, микрорайон 11",микрорайон 11,Актюбинская область
Телефон iPhone 13 128GB,190 000 тг.,"['Бизнес', 'Марка телефона: Apple', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","В наличии iPhone 13 128GB
Состояние аккумулятора -82%
30 дней гарантии на устройство
Цена - 190000 тенге

Ждём вас по адресу Кабанбай батыра 14

Instagram: radjabov_mobile_ast
Telegram: RADJABOV_MOBILE_AST","Астана, Нура",Нура,Акмолинская область
Iphone 12 mini 64gb,110 000 тг.,"['Бизнес', 'Марка телефона: Apple', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","В наличии iPhone 12 mini
Состояние 10/10
Комплект коробка и зарядка
Гарантия месяц
Каспи рассрочка
ЦУМ 027 ряд Мустафа
Инстаграм Isell.karaganda
Вацап 87******948
пишите звоните","Караганда, Казыбекбийский район",Казыбекбийский район,Карагандинская область
"Iphone 13 red, 128GB",180 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 13 red на 128GB, почти в идеальном состоянии, состояние аккумулятора 79%. Так же продаю IPhone 12 Pro по характеристикам идентичный. Торг уместен","Алматы, Медеуский район",Медеуский район,Алматинская область
"Iphone 13 pro/ Айфон 13 про,",365 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","АКБ 91%
на ремонте не был
состояние практически новое.","Караганда, Октябрьский район",Октябрьский район,Карагандинская область
Продам IPhone 11 Pro Max,250 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 64 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам IPhone 11 Pro Max
Память: 64gb
Ёмкость: 88%(оригинал)
Все в идеале
Обмен не интересует","Талдыкорган, Еркин",Еркин,Алматинская область
Iphone 16 Pro Max 1TB,920 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 1024 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Новый запечатанный, срочно нужны деньги звоните сторгуемся","Чапаево,",,Карагандинская область
Айфон 15 Про Макс 1Тб 1 сим Чёрный титан оптовая цена на Apple iphone,560 000 тг.,"['Бизнес', 'В рассрочку: Все объявления, Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб, 512 Гб, 1024 Гб, другое', 'Кол-во сим карт: 1 сим-карта, 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Акция Распродажа Смартфонов Apple iPhone 15 PRO MAX 256gb, 512gb и 1tb, в магазине Mtel kz
Внимание ЦЕНА указана От 560000 Тенге ТОЛЬКО за НАЛИЧНЫЙ расчет!
- В Н И М А Н И Е !!! Нас копируют многие !!! Мы ни каких пред-оплат не берем!!!
- Iphone 15 Pro Max 256gb ОТ 560000 тенге,
- Iphone 15 Pro Max 512gb От 630000 тенге,
- Iphone 15 Pro Max 1Tb От 735000 тенге.
-- А К Ц И Я -- Внимание ЦЕНА для тех кто отправит СКРИН на указанный номер
Цены могут меняться!!! -- Уточняйте ЦЕНЫ есть все модели
В Н И М А Н И Е !!! Читайте до конца! КОЛИЧЕСТВО ОГРАНИЧЕНО Акция Кто успел тот успел с 10:30 до 19:30ч. Такого ещё не было ( УБЕДИТЕЛЬНО Просим Вас Отправьте скрин или позвоните Цену зафиксируем так КАК в ЗАЛЕ ФИКСИРОВАННАЯ ЦЕНА ни кто кроме Нас не может Вам продать ниже фиксированной ЦЕНЫ)
Абылайхана 62, ТД ""ЦУМ"", 2-Этаж, Сектор 32, ( Бутик Mtel kz )
(Ориентир Синяя вывеска с Жёлтыми Буквами (Рядом с Уборной 2- Этажа))
- - - Доставка по Алматы и по РК - ЕСТЬ Платная.
ЦЕНЫ меняются как на понижение так и на ПОВЫШЕНИЕ (Менять ЦЕНЫ не УСПЕВАЕМ).
Резерв Строго по переписке WhatsApp. Без звонка или скрина можете не приходить. Самые низкие цены Гарантируем. Звоните уточняйте ЦЕНЫ и Резервируйте. 1 год ГАРАНТИЯ.
РАСРОЧКА рассматривается только на месте у нас в магазине и ЦЕНА меняется на повышение!!! Убедительная просьба Звоните ( Пишите ) Уточняйте Цены и ЗАРАНЕЕ ставьте РЕЗЕРВ!!!
А так же есть все Другие модели смартфонов Звоните уточняйте наличие и резервируйте. Цены По Факту Самые низкие,
Ставите Резерв и на Вас стоит Резерв. Приходите оплачивайте только по факту получения товара.
Смотрите все наши объявления, Поставьте в избранные. Звоните или пишите на вотсап, здесь ответить на сообщение не успеваем Спасибо за понимание.

Всем Удачной покупки и приятного пользования! С/у Mtel kz
Абылайхана 62, ТД ""ЦУМ"",
2-Этаж, Сектор 32, ( Бутик Mtel kz )
(Ориентир Синяя вывеска с Жёлтыми Буквами (Рядом с Уборной 2- Этажа))
Гарантируем Самые Низкие ЦЕНЫ по г. Алматы На любой СМАРТФОН","Алматы, Алмалинский район",Алмалинский район,Алматинская область
Л7-ССотовый телефон APPLE iPhone 12 64GB/КТ136768,130 000 тг.,"['Бизнес', 'В рассрочку: Все объявления, Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 64 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Сотовый телефон APPLE iPhone 12 64GB

Состояние: в отличном состоянии

Данный товар вы можете приобрести по адресу:
г. Актобе, Локомотивная 7

Remarket MoneyShop

- Рассрочка 0-0-12\ 0-0-24
- Выгодно продать + Есть Обмен ""TRADE iN"".
- Доставка по всему KZ
- Живые отзывы о Нас - в профиле
- Все товары выходят раньше вот тут
- Официальный сайт (ссылка в профиле)
- Закрытый Канал в Телеграме (за ссылкой в личку)","Актобе, микрорайон 11",микрорайон 11,Актюбинская область
,,[],,,,
Продам iPhone 14 Pro Max 1TB Deep Purple,439 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 1024 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Торга и обмена нет.

Продам iPhone 14 Pro Max 1TB

Идеальное состояние, один хозяин. Американец. Только eSIM.

Торга и обмена нет.","Алматы, Бостандыкский район",Бостандыкский район,Алматинская область
Iphone 14 Pro 128/Обмен/ГАРАНТИЯ/РАССРОЧКА/14 Про 128,350 100 тг.,"['Бизнес', 'В рассрочку: Все объявления, Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","INST: imperia_zalogov

Предлагаем вашему вниманию Iphone 14 Pro 256gb 89%

Даём гарантию на проверку!
Вся техника проверенная специалистами, не была в ремонте. И не вскрывалась!

ЦЕНА ЗА НАЛИЧНЫЙ РАСЧЕТ !

Рассрочка 6, 12, 24 месяца. RED.
Возможна доставка по городу Костанай.

Наш магазин ""Империя залогов"" находится по адресу Баймагамбетова 179, угол Павлова (напротив Чародейка, ресторан P10)
Ещё больше товаров по самым доступным ценам. Чтобы увидеть больше техники, жми на ""Другие объявления пользователя""","Костанай,",,Костанайская область
iPhone 14proMax 256гб,630 000 тг.,"['Частное лицо', 'В рассрочку: Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']",Айфон 14про макс 256гб Ақ светте бәрі дұрыс жағдайы ләләләлә общ 2ай болды гарантия толон бар 1жылға коропка комплекті зарядка чихол подаркке келсім бар көп емес 100% ОРГИНАЛЬ барлық жері таза сынық трешина жоқ фотосын сала алмадым жоқ если катты керек болса номерге шықсан жіберем 87******661,"Шымкент, Аль-Фарабийский район",Аль-Фарабийский район,Туркестанская область
Iphone 13 Pro 128Gb,220 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","iPhone 13 Pro 128Gb

Есть царапина и вмятина сбоку , на фото видно

Состояние аккумулятора- 80%
Полный комплект","Алматы, Алмалинский район",Алмалинский район,Алматинская область
Продаю iPhone 13 128Gb midnight,190 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","Продаю iPhone 13 128Gb midnight,
в очень хорошем состоянии,
состояние аккумулятора 85%,
в комплект входит:
-шнур для зарядки
-иголка для SIM-карты
-коробка
-телефон
-4шт оригинальных чехла","Акбулак,",,Карагандинская область
"Iphone 13, полная комплектация",230 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам iPhone 13 Pro blue 128 gb
Полностью рабочий, с Face ID
Экран не меняла, не роняла, не ремонтировала, в идеальном состоянии.
РСТ , работает полностью исправно, все камеры, диктофон и так далее.
Сколов, царапин и прочего нет, телефон полностью в рабочем состоянии от и до.
Лагов, выключений, отключения функций каких-то, перегревов или любых других косяков по работе нет и нету. Apple Рау так же работает.
Заранее прошу, не торгуйтесь, перекупы и так далее тоже прошу не беспокоить.
Рыночные цены знаю (от и до:)
Так как за такую цену продают либо битые, либо с битыми экранами и задником, либо сильно коцаные с вмятинами и сильными сколами, либо под Apple ID.
Это мой личный телефон, которым я пользуюсь каждый день, так что в нем уверена на 100%

Продаю в связи с тем, что срочно нужны деньги.","Алматы, Алатауский район",Алатауский район,Алматинская область
iPhone 12 (64) | Technomoney Петропавловск,100 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 64 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","iPhone 12 (64GB)

состояние аккумулятора: 73%
комплектация: коробка, шнур
состояние телефона: 7/10

АКЦИЯ
Цена за наличный расчет: 100.000тг
Ежемесячный платеж в рассрочку 0•0•12: 9.833тг
(Можно обменять с доплатой по системе TRADE IN)

Мы находимся по адресу:
г. Петропавловск, Назарбаева 111
Наш инстаграм: technomoney.kz","Петропавловск,",,Северо-Казахстанская область
iPhone 14 Pro 256 GB 90% “ Gld,330 000 тг.,"['Бизнес', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Айфон 14 Про
• память 256 ГБ
• Состояние 90 %
• гарантия есть
• Trade-in(обмен) есть с вашей или с нашей доплатой

Наш адрес: Г.Астана Ул. Петрова 17 (со стороны ул. Сатпаева )","Астана, Алматинский район",Алматинский район,Акмолинская область
Новый iphone 16 pro max,720 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Абсолютно новый запечатанный iPhone,выкуплен с официального сайта Америки apple.
Память 256 ГБ.
Цвет desert titanium.","Алматы, Алмалинский район",Алмалинский район,Алматинская область
"Iphone 14 PRO MAX ИДЕАЛ, без ремонта",345 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","Продам айфон 14 про Макс
128гб
Емкость аккум 96%( идеально держит) родная батарея
Комплект полный: телефон, коробка, зарядка.
Состояние: НОВОГО ТЕЛЕФОНА, БЕЗ РЕМОНТА, любые проверки, все функции работают.
Цена адекватная( Торг реальным клиентам)
Перекупы не беспокойте!
Звоните, если не отвечаю напишите на ватс номер.","Алматы, Ауэзовский район",Ауэзовский район,Алматинская область
iPhone 14 pro max на гарантии совсем новый,500 000 тг.,"['Частное лицо', 'Марка телефона: Другая марка', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Новый']",iPhone 14 pro max на гарантии совсем новый не пользовались причина продажи выплата кредита,"Шахтинск,",,Карагандинская область
"Iphone 13pro 256gb,86%батарейка",330 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']",В хорошем состоянии почти новая,"Корам,",,Алматинская область
Обмен или продам iPhone 13 Pro 256gb,300 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","Айфон в отличном состоянии всё прекрасно работает на фото видно
Коробка документы есть
Возможен обмен на телефон","Щучинск,",,Акмолинская область
"Iphone 15 Pro 256gb в идеальном состоянии ,на гарантии",440 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","-Iphone 15 Pro 256gb в идеальном состоянии!
-Цена 440 000тг
-Возможен TRADE IN!
-Рассрочка 0-0-24!
-Гарантия 25.11.2024!
-Состоянии аккумулятора 89%
-В полном комплекте!
-Также в наличии смартфоны по доступным ценам!
-Возможна доставка!
-Консультации по телефону или на WHATS APP
-Цум 1-ый этаж , магазин Универсальный(отдел №2)","Усть-Каменогорск, 45-я аптека",45-я аптека,Восточно-Казахстанская область
iPhone 12 в отличном состоянии,190 000 тг.,"['Частное лицо', 'В рассрочку: Все объявления', 'Марка телефона: Другая марка', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","Продается айфон 12 в отличном состоянии.телефон был всегда в чехле и в защитном стекле.
В комплекте 4 чехол и зарядное устройство.в ремонте не был. Минусов нет.
Состояние аккумулятора 81%","Алматы, Ауэзовский район",Ауэзовский район,Алматинская область
Iphone 15 Pro/рассрочка/актив маркет,580 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","•iPhone 15 Pro
512/100%
Цп:7
•комплектация: коробка

Большой выбор товаров по самым доступным ценам в магазине техники от Актив Ломбарда!
•Мы находимся по адресу Акана серэ 52
•Работаем каждый день без перерывов и выходных с 9:00 до 22:00
Kaspi 0-0-12
Kaspi red

Номер телефона:8-***********40","Кокшетау, Первая аптека",Первая аптека,Акмолинская область
C32-Сотовый телефон Apple iPhone 11 128GB\КТ135372,90 000 тг.,"['Бизнес', 'Марка телефона: Apple', 'Объем встроенной памяти: 32 Гб, 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","C32-Сотовый телефон Apple iPhone 11 128GB
Состояние: в отличном состоянии

Данный товар вы можете приобрести по адресу:
г. Атырау, ул Сатпаева 32.

Remarket MoneyShop

- Рассрочка 0-0-12\ 0-0-24
- Выгодно продать + Есть Обмен ""TRADE iN"".
- Доставка по всему KZ
- Живые отзывы о Нас - в профиле
- Все товары выходят раньше вот тут
- Официальный сайт (ссылка в профиле)
- Закрытый Канал в Телеграме (за ссылкой в личку)
ID: 365094911
Просмотров: 677","Атырау, Сатпаева",Сатпаева,Атырауская область
iphone 12 pro max,350 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 512 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","память :512 гб
ёмкость: 83%
пользовался примерно 2 года
Состояние идеальное, ни царапины, ни повреждений.
Цена: 350 000тг
Торг есть
Причина продажи: хочу новую купить.","Астана, Алматинский район",Алматинский район,Акмолинская область
IPhone 14 128 запечатаный,290 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Продам айфон 14 напечатан
Перекупы Прошу не беспокоить торг минимальный","Астана, Есильский район",Есильский район,Акмолинская область
Iphone 12 pro 128 гб,159 999.99 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 12 Pro 128 гб темно серый
Внешнее состояние как новый
Акб показыват 79% но стоит оригинал акб на 100%
Заряд держат очень долго
Фейс работает
Трутон работает
Камера все работает
Обмен на XS Max Xr или на 11
Документов нету есть каробка
Оканчательная цена 135к","Караганда, Казыбекбийский район",Казыбекбийский район,Карагандинская область
Iphone 13 128 GB 89% MIDNIGHT,190 000 тг.,"['Бизнес', 'В рассрочку: Все объявления, Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 2 сим-карты, 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Iphone 13 128 GB 89% MIDNIGHT

Комплектация: коробка

Салем ,менің есімім Pintel.kz

-Егер бізден телефон алсаңыз төмендегі 7 сыйлық сізге беріледі

1. Новый телефон алсаңыз 1-жыл Гарантия береміз
2.Чехолын сыйлыққа береміз
3.Стекло тегін береміз
4.Icloud,аккаунт тегін жасап береміз.
5.Ескі телефондағы фото Видео *Контакты* тегін өткізіп береміз
6.Және ең маңыздысы 1 жыл бойы анти ударын тегін ауыстырып береміз (Қазақстанда тек қана бізде солай)
7.Ескі телефонды тапсырып жаңасын алатын болсаңыз,ескі телефоныңызды жоғары бағалаймыз!

Біздің Instagram:
Pintel.kz

Біздің TikTok: Pintel.kz
Бізде 12-24 айға бөліп төлеуге алсаңызда болады:

Kaspi bank,
Halyk bank
HomeCredit bank

Біздің 4 дүкеннің мекен жайы:

1-Дүкен :Ақтау қаласы ,29мкр ТЦ ТАРЛАН - (Сары базарға қарама қарсы)

2-Дүкен :Жаңаөзен қаласы ТРЦ ЗИБА

3- Дүкен: Ақтау қаласы,26мкр 31дом - Pintel.kz

4- Дүкен:Ақтау қаласы,Мұнайлы ауданы, Вокзалға қарама қарсы Pintelkz.munaily (MEGA )дүкені","Актау, 1",1,Мангистауская область
